Ticker,rows,start,end
AAPL,1908,2019-01-02,2026-04-24
ABBV,1908,2019-01-02,2026-04-24
ABT,1908,2019-01-02,2026-04-24
ACN,1908,2019-01-02,2026-04-24
ADBE,1908,2019-01-02,2026-04-24
AMD,1908,2019-01-02,2026-04-24
AMZN,1908,2019-01-02,2026-04-24
AVGO,1908,2019-01-02,2026-04-24
BAC,1908,2019-01-02,2026-04-24
BLK,1908,2019-01-02,2026-04-24
CAT,1908,2019-01-02,2026-04-24
COST,1908,2019-01-02,2026-04-24
CRM,1908,2019-01-02,2026-04-24
CSCO,1908,2019-01-02,2026-04-24
CVX,1908,2019-01-02,2026-04-24
DIS,1908,2019-01-02,2026-04-24
GE,1908,2019-01-02,2026-04-24
GOOGL,1908,2019-01-02,2026-04-24
GS,1908,2019-01-02,2026-04-24
HD,1908,2019-01-02,2026-04-24
IBM,1908,2019-01-02,2026-04-24
INTC,1908,2019-01-02,2026-04-24
JNJ,1908,2019-01-02,2026-04-24
JPM,1908,2019-01-02,2026-04-24
KO,1908,2019-01-02,2026-04-24
LIN,1908,2019-01-02,2026-04-24
LLY,1908,2019-01-02,2026-04-24
MA,1908,2019-01-02,2026-04-24
MCD,1908,2019-01-02,2026-04-24
META,1908,2019-01-02,2026-04-24
MRK,1908,2019-01-02,2026-04-24
MS,1908,2019-01-02,2026-04-24
MSFT,1908,2019-01-02,2026-04-24
NFLX,1908,2019-01-02,2026-04-24
NKE,1908,2019-01-02,2026-04-24
NVDA,1908,2019-01-02,2026-04-24
ORCL,1908,2019-01-02,2026-04-24
PEP,1908,2019-01-02,2026-04-24
PFE,1908,2019-01-02,2026-04-24
PG,1908,2019-01-02,2026-04-24
PM,1908,2019-01-02,2026-04-24
QCOM,1908,2019-01-02,2026-04-24
TMO,1908,2019-01-02,2026-04-24
TSLA,1908,2019-01-02,2026-04-24
TXN,1908,2019-01-02,2026-04-24
UNH,1908,2019-01-02,2026-04-24
V,1908,2019-01-02,2026-04-24
WFC,1908,2019-01-02,2026-04-24
WMT,1908,2019-01-02,2026-04-24
XOM,1908,2019-01-02,2026-04-24
