Ticker,rows,status
AAPL,1838,ok
MSFT,1838,ok
GOOGL,1838,ok
AMZN,1838,ok
META,1838,ok
NVDA,1838,ok
TSLA,1838,ok
JPM,1838,ok
XOM,1838,ok
LLY,1838,ok
UNH,1838,ok
JNJ,1838,ok
V,1838,ok
PG,1838,ok
MA,1838,ok
HD,1838,ok
COST,1838,ok
ABBV,1838,ok
BAC,1838,ok
KO,1838,ok
PEP,1838,ok
AVGO,1838,ok
WMT,1838,ok
MRK,1838,ok
ADBE,1838,ok
CRM,1838,ok
NFLX,1838,ok
AMD,1838,ok
INTC,1838,ok
CSCO,1838,ok
TMO,1838,ok
MCD,1838,ok
ABT,1838,ok
DIS,1838,ok
WFC,1838,ok
PFE,1838,ok
CVX,1838,ok
ORCL,1838,ok
ACN,1838,ok
TXN,1838,ok
QCOM,1838,ok
LIN,1838,ok
NKE,1838,ok
PM,1838,ok
IBM,1838,ok
GE,1838,ok
CAT,1838,ok
GS,1838,ok
MS,1838,ok
BLK,1838,ok
