Model,Horizon,MeanLongShortReturn,VolLongShortReturn,SharpeApprox,N_Dates
NBEATS-Emb-32,1,0.006488349975572561,0.012392916214075783,0.5235531220813985,18
Kronos-ZeroShot,1,0.007329750199811907,0.020610660425462845,0.35562907973373714,18
NBEATS-Emb-8,1,0.0031959462996031703,0.014394534602982265,0.22202498293630368,18
Chronos-ZeroShot,1,0.00464149621378947,0.021125080967205355,0.21971495498620544,18
PatchTST,1,0.006091416281285279,0.03653019164708773,0.1667501868080372,18
NBEATS-Emb-16,1,0.0022044072219083635,0.019093424232947995,0.11545373920432743,18
Naive-RandomWalk,1,0.0015734307587259423,0.014989005449318851,0.10497232548524052,18
NBEATS-NoEmb,1,-0.0016445355974592834,0.020092120361665928,-0.08184977831393637,18
NBEATS,1,-0.00926104701430387,0.018919576983523017,-0.48949545871819855,18
NBEATS-Emb-16,5,0.010557012186990103,0.05263280025788678,0.20057857714701743,18
Naive-RandomWalk,5,0.002999381675559328,0.0337732375475335,0.08880942110858946,18
PatchTST,5,0.004738460797279914,0.05812207805040464,0.08152600451020738,18
Kronos-ZeroShot,5,-0.011497550804874267,0.060282197115098905,-0.1907287948201621,18
NBEATS,5,-0.013824263726474124,0.06261452211612827,-0.22078366582172262,18
NBEATS-Emb-32,5,-0.010807738574938348,0.047949931461071696,-0.22539632999710635,18
Chronos-ZeroShot,5,-0.019508092264607493,0.06152416861565417,-0.3170801443328056,18
NBEATS-NoEmb,5,-0.02086604066463218,0.04371616316300686,-0.4773072281487245,18
NBEATS-Emb-8,5,-0.01837680068145983,0.029336047756789156,-0.6264238739251078,18
